*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                            NO3 (ppm) by soil depth (cm):                                           NH4 (ppm) by soil depth (cm):
!                                                            0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150     0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD   NITD   NHTD    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NI9D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NH9D    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM
 1990 064    85   250     3     0.0  225.9  207.2   18.7  108.91   27.82   33.83    2.25    1.77    1.42    1.27    1.99    2.99   11.57    0.22    0.15    0.09    0.08    0.08    0.18    0.74    1.10  152.40  303.97    0.00  100.04    0.00   52.36  160.22
 1990 065    86   250     3     0.0  228.5  211.0   17.5  114.98   27.80   33.82    2.25    1.77    1.42    1.27    1.93    3.01   10.07    0.21    0.14    0.08    0.08    0.08    0.18    0.71    1.09  152.63  308.08    0.00  100.16    0.00   52.46  160.69
 1990 066    87   250     3     0.0  230.5  214.0   16.5  119.97   27.77   33.80    2.25    1.77    1.42    1.26    1.88    3.02    8.92    0.21    0.14    0.08    0.08    0.08    0.17    0.68    1.08  152.85  311.44    0.00  100.28    0.00   52.57  161.14
 1990 067    88   250     3     0.0  232.2  216.5   15.7  124.17   27.73   33.76    2.25    1.77    1.42    1.26    1.82    3.03    8.04    0.20    0.13    0.08    0.08    0.08    0.17    0.66    1.07  153.07  314.24    0.00  100.40    0.00   52.67  161.59
 1990 068    89   250     3     0.0  233.6  218.5   15.1  127.72   27.67   33.72    2.25    1.77    1.42    1.26    1.77    3.04    7.51    0.20    0.13    0.08    0.07    0.08    0.17    0.63    1.06  153.28  316.56    0.00  100.51    0.00   52.77  162.01
 1990 069    90   250     3     0.0  234.9  220.2   14.7  130.78   27.61   33.68    2.25    1.77    1.42    1.26    1.72    3.05    7.15    0.19    0.12    0.08    0.07    0.08    0.17    0.61    1.05  153.49  318.54    0.00  100.62    0.00   52.87  162.43
 1990 070    91   250     3     0.0  236.0  221.6   14.3  133.46   27.56   33.65    2.25    1.77    1.42    1.25    1.67    3.07    6.84    0.19    0.12    0.08    0.07    0.07    0.17    0.58    1.05  153.69  320.31    0.00  100.73    0.00   52.96  162.84
 1990 071    92   250     3     0.0  236.9  222.9   14.0  135.93   27.49   33.60    2.25    1.77    1.42    1.25    1.62    3.08    6.58    0.19    0.12    0.08    0.07    0.07    0.16    0.56    1.04  153.89  321.88    0.00  100.83    0.00   53.05  163.24
 1990 072    93   250     3     0.0  237.7  224.0   13.7  138.16   27.42   33.55    2.25    1.77    1.42    1.25    1.57    3.08    6.35    0.18    0.11    0.08    0.07    0.07    0.16    0.54    1.03  154.08  323.28    0.00  100.93    0.00   53.14  163.65
 1990 073    94   250     3     0.0  238.3  224.9   13.4  140.15   27.35   33.50    2.25    1.77    1.42    1.24    1.52    3.08    6.18    0.18    0.11    0.08    0.07    0.07    0.16    0.52    1.02  154.26  324.50    0.00  101.03    0.00   53.23  164.07
 1990 074    95   250     3     0.0  238.8  225.7   13.1  141.94   27.28   33.45    2.25    1.77    1.42    1.24    1.48    3.08    6.03    0.18    0.11    0.08    0.07    0.07    0.16    0.50    1.01  154.44  325.60    0.00  101.12    0.00   53.32  164.50
 1990 075    96   250     3     0.0  239.2  226.4   12.8  143.65   27.21   33.40    2.25    1.77    1.42    1.24    1.43    3.08    5.81    0.18    0.11    0.08    0.07    0.07    0.16    0.49    0.99  154.62  326.63    0.00  101.22    0.00   53.40  164.96
 1990 076    97   250     3     0.0  239.5  227.0   12.4  145.31   27.14   33.35    2.25    1.77    1.42    1.23    1.39    3.07    5.52    0.18    0.10    0.08    0.07    0.07    0.15    0.47    0.98  154.80  327.64    0.00  101.32    0.00   53.49  165.44
 1990 077    98   250     3     0.0  239.6  227.6   12.0  146.90   27.07   33.30    2.25    1.77    1.42    1.23    1.35    3.05    5.17    0.18    0.10    0.08    0.07    0.07    0.15    0.45    0.96  155.00  328.61    0.00  101.42    0.00   53.58  165.96
 1990 078    99   250     3     0.0  239.7  228.1   11.6  148.46   27.00   33.25    2.25    1.77    1.42    1.23    1.31    3.02    4.76    0.18    0.10    0.07    0.07    0.07    0.15    0.44    0.94  155.20  329.55    0.00  101.53    0.00   53.67  166.52
 1990 079   100   250     3     0.0  239.6  228.6   11.0  149.99   26.94   33.20    2.25    1.77    1.42    1.22    1.27    2.99    4.28    0.18    0.10    0.07    0.07    0.07    0.15    0.42    0.92  155.42  330.49    0.00  101.65    0.00   53.77  167.13
 1990 080   101   250     3     0.0  239.5  229.0   10.5  151.47   26.87   33.16    2.25    1.77    1.42    1.22    1.24    2.95    3.77    0.17    0.10    0.07    0.07    0.07    0.15    0.41    0.90  155.65  331.41    0.00  101.77    0.00   53.88  167.79
 1990 081   102   250     3     0.0  242.0  229.3   12.7  152.86   26.81   33.11    2.25    1.77    1.42    1.22    1.20    2.90    7.45    0.17    0.09    0.07    0.07    0.07    0.15    0.39    0.87  155.90  332.27    0.00  101.91    0.00   53.99  168.48
 1990 082   103   250     3     0.0  241.4  230.3   11.1  155.30   26.75   33.06    2.25    1.78    1.42    1.22    1.17    2.84    5.38    0.17    0.09    0.07    0.06    0.07    0.14    0.38    0.84  156.16  333.82    0.00  102.05    0.00   54.11  169.23
 1990 083   104   250     3     0.0  240.8  230.9    9.9  157.15   26.69   33.02    2.25    1.78    1.42    1.21    1.13    2.78    3.90    0.17    0.09    0.07    0.06    0.07    0.14    0.36    0.81  156.42  335.00    0.00  102.19    0.00   54.23  169.96
 1990 084   105   250     3     0.0  240.2  231.2    8.9  158.56   26.63   32.97    2.25    1.78    1.42    1.21    1.10    2.72    2.86    0.17    0.09    0.07    0.06    0.06    0.14    0.35    0.78  156.69  335.87    0.00  102.33    0.00   54.36  170.68
 1990 085   106   250     3     0.0  239.6  231.4    8.3  159.63   26.57   32.92    2.25    1.78    1.42    1.21    1.07    2.66    2.15    0.17    0.09    0.07    0.06    0.06    0.14    0.34    0.76  156.96  336.51    0.00  102.47    0.00   54.48  171.38
 1990 086   107   250     3     0.0  239.0  231.3    7.7  160.49   26.51   32.88    2.25    1.78    1.42    1.21    1.04    2.61    1.67    0.17    0.09    0.07    0.06    0.06    0.14    0.33    0.73  157.21  337.00    0.00  102.61    0.00   54.60  172.07
 1990 087   108   250     3     0.0  238.5  231.2    7.3  161.20   26.44   32.83    2.25    1.78    1.42    1.20    1.01    2.55    1.33    0.17    0.08    0.07    0.06    0.06    0.13    0.32    0.71  157.46  337.39    0.00  102.74    0.00   54.72  172.73
 1990 088   109   250     3     0.0  238.0  231.0    7.0  161.81   26.38   32.78    2.25    1.78    1.42    1.20    0.98    2.50    1.08    0.17    0.08    0.06    0.06    0.06    0.13    0.31    0.68  157.71  337.71    0.00  102.87    0.00   54.84  173.38
 1990 089   110   250     3     0.0  237.4  230.8    6.7  162.35   26.32   32.73    2.25    1.78    1.42    1.20    0.95    2.44    0.91    0.17    0.08    0.06    0.06    0.06    0.13    0.30    0.66  157.94  337.97    0.00  102.99    0.00   54.95  174.02
 1990 090   111   250     3     0.0  236.9  230.5    6.4  162.84   26.25   32.68    2.25    1.78    1.42    1.19    0.92    2.39    0.78    0.17    0.08    0.06    0.06    0.06    0.13    0.29    0.64  158.17  338.19    0.00  103.11    0.00   55.06  174.63
 1990 091   112   250     3     0.0  236.4  230.2    6.2  163.29   26.19   32.63    2.25    1.78    1.42    1.19    0.89    2.34    0.68    0.17    0.08    0.06    0.06    0.06    0.13    0.28    0.62  158.38  338.38    0.00  103.22    0.00   55.16  175.24
 1990 092   113   250     3     0.0  235.9  229.9    6.0  163.72   26.12   32.58    2.25    1.78    1.42    1.19    0.87    2.29    0.61    0.17    0.08    0.06    0.06    0.06    0.13    0.27    0.60  158.58  338.54    0.00  103.33    0.00   55.26  175.82
 1990 093   114   250     3     0.0  235.5  229.6    5.8  164.13   26.05   32.53    2.25    1.78    1.42    1.18    0.84    2.24    0.56    0.17    0.08    0.06    0.06    0.06    0.12    0.26    0.58  158.78  338.69    0.00  103.43    0.00   55.35  176.39
 1990 094   115   250     3     0.0  235.0  229.3    5.7  164.53   25.99   32.48    2.25    1.78    1.42    1.18    0.81    2.19    0.50    0.17    0.08    0.06    0.06    0.06    0.12    0.25    0.56  158.97  338.84    0.00  103.53    0.00   55.44  176.95
 1990 095   116   250     3     0.0  234.6  229.1    5.5  164.93   25.92   32.43    2.24    1.78    1.42    1.18    0.79    2.14    0.46    0.17    0.08    0.06    0.06    0.06    0.12    0.25    0.54  159.18  338.98    0.00  103.64    0.00   55.54  177.50
 1990 096   117   250     3     0.0  234.1  228.8    5.3  165.32   25.86   32.39    2.24    1.78    1.42    1.18    0.77    2.09    0.41    0.17    0.08    0.06    0.05    0.06    0.12    0.24    0.53  159.40  339.13    0.00  103.76    0.00   55.64  178.02
 1990 097   118   250     3     0.0  233.7  228.5    5.2   12.51   86.78   45.16    2.24    1.78    1.42    1.17    0.74    2.04    0.38    0.17    0.08    0.06    0.05    0.06    0.12    0.23    0.51  159.62  339.28    0.00  103.88    0.00   55.75  178.54
 1990 098   119   250     3     0.0  228.1  222.6    5.5   11.08   75.02   51.78    2.24    1.78    1.42    1.17    0.74    2.03    0.00    0.61    0.09    0.06    0.05    0.06    0.12    0.23    0.50  162.62  339.40    0.00  106.52    0.00   56.11  184.54
 1990 099   120   250     3     0.0  226.9  220.3    6.6   14.30   73.41   50.52    2.22    1.75    1.39    1.15    0.74    2.03    1.06    0.90    0.15    0.06    0.05    0.06    0.12    0.23    0.50  167.33  339.66    0.00  109.72    0.00   57.61  187.22
 1990 100   121   250     3     0.0  225.8  218.8    7.0   20.18   71.57   48.94    2.19    1.73    1.35    1.13    0.74    2.03    1.28    1.02    0.19    0.06    0.05    0.05    0.12    0.23    0.49  171.97  340.98    0.00  112.52    0.00   59.45  190.19
 1990 101   122   250     3     0.0  224.4  217.6    6.8   22.40   69.74   48.80    2.19    1.73    1.35    1.13    0.74    2.02    1.08    1.02    0.21    0.06    0.05    0.05    0.11    0.23    0.49  175.80  342.64    0.00  114.61    0.00   61.19  193.30
 1990 102   123   250     3     0.0  222.6  216.1    6.5   24.64   67.78   48.66    2.19    1.73    1.35    1.13    0.73    2.00    0.80    0.94    0.22    0.06    0.05    0.05    0.11    0.23    0.48  178.69  344.17    0.00  116.09    0.00   62.60  196.51
 1990 103   124   250     3     0.0  223.5  217.2    6.3   26.57   67.65   48.61    2.18    1.73    1.35    1.13    0.73    2.01    0.75    0.88    0.22    0.05    0.05    0.05    0.11    0.23    0.48  180.75  345.36    0.00  117.09    0.00   63.66  196.63
 1990 104   125   250     3     0.0  224.3  218.3    6.0   28.33   67.63   48.56    2.18    1.73    1.35    1.13    0.74    2.02    0.40    0.82    0.21    0.05    0.05    0.05    0.11    0.23    0.47  182.42  346.49    0.00  117.96    0.00   64.46  196.63
 1990 105   126   250     3     0.0  225.1  219.2    5.9   29.64   67.62   48.52    2.18    1.73    1.35    1.13    0.74    2.02    0.41    0.78    0.21    0.05    0.05    0.05    0.11    0.23    0.47  183.95  347.33    0.00  118.75    0.00   65.21  196.63
 1990 106   127   250     3     0.0  225.8  220.0    5.8   30.95   67.60   48.47    2.18    1.73    1.35    1.13    0.75    2.03    0.35    0.73    0.21    0.05    0.05    0.05    0.11    0.23    0.46  185.38  348.17    0.00  119.46    0.00   65.92  196.63
