*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1990 087   108  170.50    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   0.04   0.00   0.00    0.00      0.00        0.00   -0.07   -0.04    0.00    0.00        0.00   -0.42    0.00
 1990 088   109  170.40    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.04   0.00   0.00    0.00      0.00        0.00   -0.06   -0.04    0.00    0.00        0.00   -0.38    0.00
 1990 089   110  170.30    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.04   0.00   0.00    0.00      0.00        0.00   -0.06   -0.04    0.00    0.00        0.00   -0.35    0.00
 1990 090   111  170.21    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.03   0.00   0.00    0.00      0.00        0.00   -0.06   -0.03    0.00    0.00        0.00   -0.32    0.00
 1990 091   112  170.12    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.03   0.00   0.00    0.00      0.00        0.00   -0.06   -0.03    0.00    0.00        0.00   -0.29    0.00
 1990 092   113  170.02    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.03   0.00   0.00    0.00     -0.01        0.00   -0.06   -0.03    0.00    0.00        0.00   -0.26    0.00
 1990 093   114  169.93    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.03   0.00   0.00    0.00     -0.01        0.00   -0.06   -0.03    0.00    0.00        0.00   -0.24    0.00
 1990 094   115  169.84    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   0.03   0.00   0.00    0.00     -0.01        0.00   -0.06   -0.03    0.00    0.00        0.00   -0.22    0.00
 1990 095   116  169.75    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.05   0.03   0.00   0.00    0.00     -0.01        0.00   -0.05   -0.03    0.00    0.00        0.00   -0.20    0.00
 1990 096   117  169.67    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.05   0.03   0.00   0.00    0.00     -0.01        0.00   -0.05   -0.03    0.00    0.00        0.00   -0.18    0.00
 1990 097   118  198.97    0.00    0.00   0.00  30.00   0.00   0.00   0.00   0.00   0.00   0.00   0.66   0.03   0.00   0.00    0.00     -0.01       30.00   -0.66   -0.03    0.00    0.00      268.97  -11.58    0.00
 1990 098   119  195.17    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.87   2.93   0.00   0.00    0.00     -0.01        0.00   -0.87   -2.93    0.00    0.00      -36.28   -6.32  -16.89
 1990 099   120  190.24    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   1.00   3.92   0.00   0.00    0.00     -0.01        0.00   -1.00   -3.92    0.00    0.00       -6.54   -6.73  -21.76
 1990 100   121  185.74    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.83   3.67   0.00   0.00    0.00     -0.01        0.00   -0.83   -3.67    0.00    0.00        0.00  -14.54  -22.18
 1990 101   122  181.63    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.66   3.44   0.00   0.00    0.00     -0.01        0.00   -0.66   -3.44    0.00    0.00        0.00  -11.30  -22.81
 1990 102   123  177.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.50   3.15   0.00   0.00    0.00     -0.01        0.00   -0.50   -3.15    0.00    0.00        0.00   -8.29  -17.26
 1990 103   124  177.10    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.38   0.50   0.00   0.00    0.00     -0.01        0.00   -0.38   -0.50    0.00    0.00        0.00   -6.03   -1.32
 1990 104   125  176.74    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.35   0.02   0.00   0.00    0.00     -0.01        0.00   -0.35   -0.02    0.00    0.00        0.00   -5.39   -0.02
 1990 105   126  176.40    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.32   0.02   0.00   0.00    0.00     -0.01        0.00   -0.32   -0.02    0.00    0.00        0.00   -4.91    0.00
 1990 106   127  176.09    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.30   0.02   0.00   0.00    0.00     -0.01        0.00   -0.30   -0.02    0.00    0.00        0.00   -4.47    0.00

!     WATER BALANCE PARAMETERS
!     ========================                 --mm--

!     Soil H20 (start) on Year/day 1989/345    316.50
!     Soil H20 (final) on Year/day 1990/106    176.09
!     Effective Irrigation                      90.00
!     Precipitation                              0.00
!     Water added with new mulch                 3.80
!     Drainage                                   0.00
!     Tiledrain flow                             0.00
!     Runoff                                     0.00
!     Mulch evaporation                          3.80
!     Soil Evaporation                          29.63
!     Transpiration                            200.79
!     Potential ET                             472.37

!     Initial mulch water content                0.00
!     Final mulch water content                  0.00

!     Final Balance                            -0.006

