*WATER BALANCE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
@YEAR DOY   DAS    SWTD    FWTD    SNTD   MWTD   IRRD   PRED  RESAD  MEVAP   DRND   ROFD   FROD   ESAD   EPAD   EFAD   TDFD    WBAL   CUMWBAL        TOTS    TOTU    TOTX    TOTT    TOTL     Drain1,   Evap1,   RootUK1
 1990 004    25  303.04    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.28   0.39   0.00   0.00    0.00      0.00        0.00   -0.28   -0.39    0.00    0.00        0.00   -2.64    0.00
 1990 005    26  302.58    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.26   0.20   0.00   0.00    0.00      0.00        0.00   -0.26   -0.20    0.00    0.00        0.00   -2.41    0.00
 1990 006    27  301.78    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.25   0.56   0.00   0.00    0.00      0.00        0.00   -0.25   -0.56    0.00    0.00        0.00   -2.20    0.00
 1990 007    28  300.85    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.24   0.69   0.00   0.00    0.00      0.00        0.00   -0.24   -0.69    0.00    0.00        0.00   -2.00    0.00
 1990 008    29  299.47    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.22   1.16   0.00   0.00    0.00      0.00        0.00   -0.22   -1.16    0.00    0.00        0.00   -1.83    0.00
 1990 009    30  297.57    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.21   1.68   0.00   0.00    0.00      0.00        0.00   -0.21   -1.68    0.00    0.00        0.00   -1.66    0.00
 1990 010    31  295.35    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.20   2.03   0.00   0.00    0.00      0.00        0.00   -0.20   -2.03    0.00    0.00        0.00   -1.52    0.00
 1990 011    32  292.64    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.18   2.53   0.00   0.00    0.00     -0.01        0.00   -0.18   -2.53    0.00    0.00        0.00   -1.38    0.00
 1990 012    33  290.08    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.17   2.39   0.00   0.00    0.00     -0.01        0.00   -0.17   -2.39    0.00    0.00        0.00   -1.26    0.00
 1990 013    34  317.34    0.00    0.00   0.00  30.00   0.00   0.00   0.00   0.00   0.00   0.00   0.54   2.20   0.00   0.00    0.00     -0.01       30.00   -0.54   -2.20    0.00    0.00      257.82   -8.76    0.00
 1990 014    35  314.20    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.47   2.67   0.00   0.00    0.00     -0.01        0.00   -0.47   -2.67    0.00    0.00      -37.70   -2.30  -14.87
 1990 015    36  311.13    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.46   2.62   0.00   0.00    0.00     -0.01        0.00   -0.46   -2.62    0.00    0.00      -10.26   -2.03  -13.39
 1990 016    37  307.72    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.37   3.04   0.00   0.00    0.00     -0.01        0.00   -0.37   -3.04    0.00    0.00        0.00   -6.18  -14.53
 1990 017    38  305.24    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.38   2.11   0.00   0.00    0.00     -0.01        0.00   -0.38   -2.11    0.00    0.00        0.00   -6.21   -9.48
 1990 018    39  302.24    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.33   2.67   0.00   0.00    0.00     -0.01        0.00   -0.33   -2.67    0.00    0.00        0.00   -5.38  -11.96
 1990 019    40  299.73    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.29   2.22   0.00   0.00    0.00     -0.01        0.00   -0.29   -2.22    0.00    0.00        0.00   -4.66  -10.15
 1990 020    41  297.60    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.32   1.82   0.00   0.00    0.00     -0.01        0.00   -0.32   -1.82    0.00    0.00        0.00   -5.00   -7.02
 1990 021    42  294.59    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.36   2.65   0.00   0.00    0.00     -0.01        0.00   -0.36   -2.65    0.00    0.00        0.00   -5.58   -8.40
 1990 022    43  289.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.28   4.32   0.00   0.00    0.00     -0.01        0.00   -0.28   -4.32    0.00    0.00        0.00   -4.27   -9.99
 1990 023    44  287.30    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.22   2.46   0.00   0.00    0.00     -0.01        0.00   -0.22   -2.46    0.00    0.00        0.00   -3.30   -3.31
 1990 024    45  284.91    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.25   2.14   0.00   0.00    0.00     -0.01        0.00   -0.25   -2.14    0.00    0.00        0.00   -3.71   -1.82
 1990 025    46  280.76    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.26   3.89   0.00   0.00    0.00     -0.01        0.00   -0.26   -3.89    0.00    0.00        0.00   -3.78   -1.46
 1990 026    47  275.05    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.23   5.48   0.00   0.00    0.00     -0.01        0.00   -0.23   -5.48    0.00    0.00        0.00   -3.36    0.00
 1990 027    48  268.65    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.19   6.20   0.00   0.00    0.00     -0.01        0.00   -0.19   -6.20    0.00    0.00        0.00   -2.78    0.00
 1990 028    49  263.10    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.16   5.39   0.00   0.00    0.00     -0.01        0.00   -0.16   -5.39    0.00    0.00        0.00   -2.39    0.00
 1990 029    50  257.86    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.14   5.10   0.00   0.00    0.00     -0.01        0.00   -0.14   -5.10    0.00    0.00        0.00   -2.15    0.00
 1990 030    51  252.43    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.13   5.29   0.00   0.00    0.00     -0.01        0.00   -0.13   -5.29    0.00    0.00        0.00   -1.97    0.00
 1990 031    52  246.62    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   5.73   0.00   0.00    0.00     -0.01        0.00   -0.07   -5.73    0.00    0.00        0.00   -1.07    0.00
 1990 032    53  244.95    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.08   1.60   0.00   0.00    0.00     -0.01        0.00   -0.08   -1.60    0.00    0.00        0.00   -1.21    0.00
 1990 033    54  243.04    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.09   1.82   0.00   0.00    0.00     -0.01        0.00   -0.09   -1.82    0.00    0.00        0.00   -1.41    0.00
 1990 034    55  239.72    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.10   3.21   0.00   0.00    0.00     -0.01        0.00   -0.10   -3.21    0.00    0.00        0.00   -1.50    0.00
 1990 035    56  234.91    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.10   4.71   0.00   0.00    0.00     -0.01        0.00   -0.10   -4.71    0.00    0.00        0.00   -1.51    0.00
 1990 036    57  228.92    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.10   5.90   0.00   0.00    0.00      0.00        0.00   -0.10   -5.90    0.00    0.00        0.00   -1.43    0.00
 1990 037    58  252.71    0.00    0.00   0.00  30.00   0.00   0.00   0.00   0.00   0.00   0.00   0.09   6.11   0.00   0.00    0.00     -0.01       30.00   -0.09   -6.11    0.00    0.00      236.27   -1.62    0.00
 1990 038    59  246.48    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.07   6.16   0.00   0.00    0.00      0.00        0.00   -0.07   -6.16    0.00    0.00      -41.26   -0.46  -30.99
 1990 039    60  241.82    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.05   4.61   0.00   0.00    0.00      0.00        0.00   -0.05   -4.61    0.00    0.00       -4.91   -0.30  -22.30
 1990 040    61  238.98    0.00    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.06   2.78   0.00   0.00    0.00      0.00        0.00   -0.06   -2.78    0.00    0.00        0.00   -0.99  -13.87
