*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1990 015    36   311   247      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.206   0.200   0.205   0.196   0.208   0.210   0.210   0.210   0.211
 1990 016    37   308   243      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.185   0.188   0.199   0.193   0.207   0.210   0.210   0.210   0.211
 1990 017    38   305   241      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.169   0.179   0.194   0.192   0.206   0.210   0.210   0.210   0.211
 1990 018    39   302   238      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.152   0.169   0.187   0.190   0.205   0.210   0.210   0.210   0.211
 1990 019    40   300   235      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.137   0.162   0.181   0.188   0.204   0.210   0.210   0.210   0.211
 1990 020    41   298   233      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.125   0.156   0.176   0.186   0.204   0.209   0.210   0.210   0.211
 1990 021    42   295   230      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.111   0.149   0.168   0.182   0.202   0.209   0.210   0.210   0.211
 1990 022    43   290   226      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.097   0.137   0.156   0.176   0.199   0.209   0.210   0.210   0.211
 1990 023    44   287   223      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.090   0.131   0.150   0.172   0.197   0.208   0.210   0.210   0.211
 1990 024    45   285   221      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.085   0.126   0.144   0.167   0.194   0.207   0.210   0.210   0.211
 1990 025    46   281   216      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.080   0.117   0.135   0.159   0.190   0.206   0.210   0.210   0.211
 1990 026    47   275   211      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.076   0.106   0.122   0.145   0.183   0.206   0.210   0.210   0.211
 1990 027    48   269   204      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.074   0.096   0.111   0.127   0.173   0.206   0.210   0.210   0.211
 1990 028    49   263   199      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.071   0.090   0.105   0.109   0.163   0.206   0.210   0.210   0.211
 1990 029    50   258   194      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.069   0.086   0.101   0.093   0.154   0.203   0.210   0.210   0.211
 1990 030    51   252   188      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.067   0.084   0.099   0.077   0.143   0.197   0.210   0.210   0.211
 1990 031    52   247   182      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.066   0.082   0.097   0.063   0.128   0.189   0.210   0.210   0.211
 1990 032    53   245   181      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.065   0.082   0.097   0.061   0.124   0.186   0.210   0.210   0.211
 1990 033    54   243   179      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.063   0.082   0.096   0.058   0.118   0.182   0.210   0.210   0.211
 1990 034    55   240   175      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.062   0.081   0.096   0.054   0.109   0.175   0.210   0.210   0.211
 1990 035    56   235   171      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.060   0.081   0.096   0.049   0.094   0.163   0.210   0.210   0.211
 1990 036    57   229   165      0      0      0     1    30   150    0.00   0.0   0.0   0.00   0.059   0.081   0.095   0.045   0.076   0.147   0.210   0.210   0.211
 1990 037    58   253   188      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.294   0.237   0.121   0.037   0.043   0.147   0.210   0.210   0.211
 1990 038    59   246   182      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.221   0.199   0.150   0.037   0.042   0.140   0.207   0.210   0.210
 1990 039    60   242   178      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.193   0.187   0.143   0.037   0.041   0.135   0.204   0.210   0.210
 1990 040    61   239   175      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.178   0.179   0.140   0.037   0.041   0.132   0.203   0.210   0.210
 1990 041    62   235   170      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.156   0.167   0.134   0.037   0.040   0.127   0.200   0.210   0.210
 1990 042    63   227   163      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.119   0.146   0.125   0.036   0.039   0.118   0.195   0.210   0.210
 1990 043    64   219   155      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.092   0.124   0.115   0.036   0.038   0.104   0.188   0.210   0.210
 1990 044    65   211   147      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.082   0.105   0.106   0.036   0.037   0.086   0.178   0.210   0.210
 1990 045    66   207   143      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.081   0.099   0.103   0.036   0.036   0.078   0.172   0.210   0.210
 1990 046    67   206   142      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.080   0.097   0.103   0.036   0.036   0.075   0.170   0.210   0.210
 1990 047    68   205   140      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.080   0.095   0.102   0.035   0.036   0.072   0.167   0.210   0.210
 1990 048    69   201   137      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.079   0.091   0.100   0.035   0.036   0.064   0.159   0.210   0.210
 1990 049    70   197   133      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.078   0.087   0.098   0.035   0.035   0.057   0.149   0.210   0.210
 1990 050    71   194   129      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.077   0.085   0.097   0.035   0.035   0.050   0.137   0.210   0.210
 1990 051    72   190   126      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.076   0.083   0.096   0.035   0.035   0.045   0.124   0.210   0.210
 1990 052    73   187   123      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.075   0.082   0.096   0.035   0.034   0.043   0.113   0.210   0.210
 1990 053    74   184   120      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.073   0.082   0.095   0.035   0.034   0.040   0.100   0.210   0.210
 1990 054    75   181   117      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.072   0.081   0.095   0.035   0.034   0.039   0.087   0.210   0.210
 1990 055    76   177   113      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.071   0.081   0.095   0.035   0.034   0.037   0.071   0.210   0.210
 1990 056    77   175   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.070   0.081   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 057    78   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.068   0.081   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 058    79   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.067   0.081   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 059    80   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.066   0.081   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 060    81   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.064   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 061    82   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.062   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 062    83   174   110      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.060   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 063    84   174   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.059   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 064    85   174   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.057   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 065    86   173   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.055   0.080   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 066    87   173   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.053   0.079   0.095   0.035   0.034   0.035   0.058   0.210   0.210
 1990 067    88   173   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.051   0.079   0.094   0.035   0.034   0.035   0.058   0.210   0.210
 1990 068    89   173   109      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.049   0.079   0.094   0.035   0.034   0.035   0.058   0.210   0.210
 1990 069    90   173   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.047   0.079   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 070    91   173   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.045   0.078   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 071    92   172   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.043   0.078   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 072    93   172   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.042   0.078   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 073    94   172   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.040   0.077   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 074    95   172   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.039   0.077   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 075    96   172   108      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.037   0.077   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 076    97   172   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.036   0.077   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 077    98   172   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.035   0.076   0.094   0.035   0.034   0.035   0.058   0.209   0.210
 1990 078    99   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.034   0.076   0.093   0.035   0.034   0.035   0.058   0.209   0.210
 1990 079   100   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.033   0.076   0.093   0.035   0.034   0.035   0.058   0.209   0.210
 1990 080   101   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.033   0.075   0.093   0.035   0.034   0.035   0.058   0.209   0.210
 1990 081   102   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.032   0.075   0.093   0.035   0.034   0.035   0.057   0.209   0.210
 1990 082   103   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.031   0.075   0.093   0.035   0.034   0.035   0.057   0.209   0.210
 1990 083   104   171   107      0      0      0     2    60   150    0.00   0.0   0.0   0.00   0.031   0.075   0.093   0.035   0.034   0.035   0.057   0.208   0.210
