*SOM N DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                                                                                                                                                                                                                                                                                                                Cumul.
!               <---- SOM N in top layers ----> <---------------- Total Soil Organic Nitrogen ----------------> <-------- Active Soil Organic Nitrogen (SOM1) --------> <---- Intermediate Soil Organic N (SOM2) -----> <------- Passive Soil Organic N (SOM3) -------> <----------------- Litter Nitrogen -------------------> <------------- Metabolic Litter Nitrogen -------------> <------------ Structural Litter Nitrogen ------------->  Res. N
!               20cm-kg  20cm-% 40cm-kg  40cm-%   Total Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150    Soil     0-5    5-15   15-25   25-40  40-150    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 Surface    Soil     0-5    5-15   15-25   25-40  40-150 (kg/ha)
@YEAR DOY   DAS  SNS20D  SN%20D  SNS40D  SN%40D    SOND    SN0D    SNTD    SN1D    SN2D    SN3D    SN4D   SN5+D   S1N0D   S1NTD   S1N1D   S1N2D   S1N3D   S1N4D  S1N5+D   S2NTD   S2N1D   S2N2D   S2N3D   S2N4D  S2N5+D   S3NTD   S3N1D   S3N2D   S3N3D   S3N4D  S3N5+D    LN0D    LNTD    LN1D    LN2D    LN3D    LN4D   LN5+D   MEN0D   MENTD   MEN1D   MEN2D   MEN3D   MEN4D  MEN5+D   STN0D   STNTD   STN1D   STN2D   STN3D   STN4D  STN5+D   RESNC
 1990 038    59    2117   0.075     932   0.028    6234     172    6063     543    1072     837     514    3096      83     111      28      48      29       2       5    1632     378     750     475       4      24    4317     137     274     333     508    3065   88.34    2.30    0.34    0.39    0.35    0.38    0.84   76.46    0.94    0.21    0.19    0.15    0.14    0.25   11.88    1.36    0.13    0.21    0.20    0.24    0.59     160
 1990 039    60    2118   0.076     932   0.028    6234     172    6062     543    1072     837     514    3096      86     111      28      48      29       2       5    1631     378     750     475       4      24    4317     137     274     333     508    3065   85.98    2.28    0.33    0.39    0.35    0.38    0.83   74.19    0.92    0.20    0.18    0.15    0.14    0.24   11.79    1.36    0.13    0.21    0.20    0.24    0.59     160
 1990 040    61    2120   0.076     932   0.028    6233     172    6061     543    1071     837     514    3096      88     110      28      47      29       2       5    1631     378     750     475       4      24    4317     137     274     333     508    3065   83.82    2.25    0.32    0.38    0.35    0.38    0.82   72.12    0.90    0.20    0.17    0.14    0.14    0.24   11.70    1.36    0.13    0.21    0.20    0.24    0.58     160
 1990 041    62    2121   0.076     932   0.028    6232     171    6060     543    1071     837     514    3096      89     110      27      47      28       2       5    1631     378     750     475       4      24    4317     137     274     333     508    3065   81.94    2.23    0.32    0.37    0.34    0.38    0.82   70.32    0.88    0.19    0.17    0.14    0.14    0.23   11.62    1.35    0.13    0.21    0.20    0.24    0.58     160
 1990 042    63    2121   0.076     932   0.028    6231     171    6060     543    1071     837     514    3096      91     109      27      47      28       2       5    1631     378     750     475       4      24    4317     137     274     333     508    3065   80.40    2.21    0.31    0.37    0.34    0.38    0.81   68.84    0.86    0.19    0.16    0.14    0.14    0.23   11.56    1.35    0.13    0.20    0.20    0.24    0.58     160
 1990 043    64    2122   0.076     932   0.028    6230     171    6059     543    1070     837     514    3095      91     109      27      47      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   79.38    2.20    0.31    0.37    0.34    0.38    0.80   67.87    0.85    0.18    0.16    0.14    0.14    0.22   11.52    1.35    0.13    0.20    0.20    0.24    0.58     160
 1990 044    65    2122   0.076     932   0.028    6229     170    6059     543    1070     837     514    3095      92     109      27      47      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   78.76    2.19    0.31    0.36    0.34    0.38    0.80   67.27    0.84    0.18    0.16    0.14    0.14    0.22   11.49    1.35    0.13    0.20    0.20    0.24    0.58     160
 1990 045    66    2122   0.076     932   0.028    6229     170    6059     543    1070     837     514    3095      92     109      27      47      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   78.29    2.18    0.30    0.36    0.34    0.38    0.79   66.82    0.83    0.18    0.16    0.14    0.14    0.21   11.47    1.35    0.13    0.20    0.20    0.24    0.58     160
 1990 046    67    2122   0.076     932   0.028    6229     170    6059     543    1070     837     514    3095      92     109      27      47      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   77.85    2.17    0.30    0.36    0.34    0.38    0.79   66.40    0.82    0.18    0.16    0.14    0.14    0.21   11.45    1.34    0.13    0.20    0.20    0.24    0.58     160
 1990 047    68    2122   0.076     932   0.028    6229     170    6059     542    1070     837     514    3095      93     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   77.45    2.16    0.30    0.36    0.34    0.38    0.78   66.02    0.82    0.18    0.16    0.14    0.14    0.21   11.43    1.34    0.13    0.20    0.20    0.24    0.58     160
 1990 048    69    2123   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      93     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   77.10    2.15    0.30    0.36    0.34    0.38    0.78   65.68    0.81    0.18    0.15    0.14    0.14    0.20   11.42    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 049    70    2123   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      93     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   76.79    2.15    0.30    0.36    0.34    0.38    0.77   65.38    0.81    0.17    0.15    0.14    0.14    0.20   11.41    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 050    71    2123   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      93     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   76.50    2.14    0.30    0.36    0.34    0.38    0.77   65.11    0.80    0.17    0.15    0.14    0.14    0.20   11.39    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 051    72    2123   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      94     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   76.22    2.14    0.30    0.36    0.34    0.38    0.77   64.84    0.80    0.17    0.15    0.14    0.14    0.20   11.38    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 052    73    2123   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      94     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   75.94    2.13    0.30    0.36    0.34    0.38    0.77   64.58    0.80    0.17    0.15    0.14    0.14    0.19   11.37    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 053    74    2124   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      94     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   75.66    2.13    0.30    0.36    0.34    0.38    0.76   64.31    0.79    0.17    0.15    0.14    0.14    0.19   11.36    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 054    75    2124   0.076     932   0.028    6228     170    6058     542    1070     837     514    3095      94     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   75.39    2.12    0.30    0.36    0.34    0.38    0.76   64.05    0.79    0.17    0.15    0.13    0.14    0.19   11.34    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 055    76    2124   0.076     932   0.028    6227     170    6058     542    1070     837     514    3095      95     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   75.11    2.12    0.29    0.36    0.34    0.38    0.76   63.78    0.78    0.17    0.15    0.13    0.14    0.19   11.33    1.34    0.13    0.20    0.20    0.24    0.57     160
 1990 056    77    2124   0.076     932   0.028    6227     170    6058     542    1070     837     514    3095      95     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   74.84    2.12    0.29    0.36    0.34    0.38    0.75   63.52    0.78    0.17    0.15    0.13    0.14    0.19   11.32    1.33    0.13    0.20    0.20    0.24    0.57     160
 1990 057    78    2124   0.076     932   0.028    6227     170    6058     542    1070     837     514    3095      95     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   74.57    2.11    0.29    0.36    0.33    0.38    0.75   63.27    0.78    0.17    0.15    0.13    0.14    0.18   11.31    1.33    0.13    0.20    0.20    0.24    0.57     160
 1990 058    79    2125   0.076     932   0.028    6227     169    6058     542    1070     837     514    3095      95     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   74.32    2.11    0.29    0.36    0.33    0.38    0.75   63.02    0.77    0.17    0.15    0.13    0.14    0.18   11.30    1.33    0.13    0.20    0.20    0.24    0.57     160
 1990 059    80    2125   0.076     932   0.028    6227     169    6057     542    1070     837     514    3095      95     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   74.07    2.10    0.29    0.36    0.33    0.38    0.75   62.79    0.77    0.17    0.15    0.13    0.14    0.18   11.28    1.33    0.13    0.20    0.20    0.24    0.57     160
 1990 060    81    2125   0.076     932   0.028    6227     169    6057     542    1070     837     514    3095      96     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.85    2.10    0.29    0.35    0.33    0.38    0.74   62.58    0.77    0.16    0.15    0.13    0.14    0.18   11.27    1.33    0.13    0.20    0.20    0.24    0.56     160
 1990 061    82    2125   0.076     932   0.028    6227     169    6057     542    1070     837     514    3095      96     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.67    2.09    0.29    0.35    0.33    0.38    0.74   62.40    0.77    0.16    0.15    0.13    0.14    0.18   11.27    1.33    0.13    0.20    0.20    0.24    0.56     160
 1990 062    83    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3095      96     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.52    2.09    0.29    0.35    0.33    0.38    0.74   62.26    0.76    0.16    0.15    0.13    0.14    0.18   11.26    1.33    0.13    0.20    0.20    0.24    0.56     160
 1990 063    84    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3095      96     108      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.39    2.09    0.29    0.35    0.33    0.38    0.74   62.14    0.76    0.16    0.15    0.13    0.14    0.17   11.25    1.33    0.12    0.20    0.20    0.24    0.56     160
 1990 064    85    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3095      96     107      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.30    2.08    0.29    0.35    0.33    0.37    0.73   62.05    0.76    0.16    0.15    0.13    0.14    0.17   11.25    1.33    0.12    0.20    0.20    0.24    0.56     160
 1990 065    86    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3095      96     107      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.20    2.08    0.29    0.35    0.33    0.37    0.73   61.96    0.75    0.16    0.15    0.13    0.14    0.17   11.24    1.33    0.12    0.20    0.20    0.24    0.56     160
 1990 066    87    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3095      96     107      27      46      28       2       5    1631     378     749     475       4      24    4317     137     274     333     508    3065   73.11    2.08    0.29    0.35    0.33    0.37    0.73   61.87    0.75    0.16    0.15    0.13    0.14    0.17   11.24    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 067    88    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   73.02    2.07    0.29    0.35    0.33    0.37    0.73   61.79    0.75    0.16    0.15    0.13    0.14    0.17   11.24    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 068    89    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.93    2.07    0.29    0.35    0.33    0.37    0.73   61.70    0.75    0.16    0.15    0.13    0.14    0.17   11.23    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 069    90    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.85    2.07    0.29    0.35    0.33    0.37    0.72   61.62    0.75    0.16    0.15    0.13    0.14    0.17   11.23    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 070    91    2125   0.076     932   0.028    6226     169    6057     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.77    2.06    0.29    0.35    0.33    0.37    0.72   61.54    0.74    0.16    0.15    0.13    0.14    0.17   11.22    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 071    92    2125   0.076     932   0.028    6226     169    6056     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.69    2.06    0.29    0.35    0.33    0.37    0.72   61.47    0.74    0.16    0.15    0.13    0.14    0.16   11.22    1.32    0.12    0.20    0.20    0.24    0.56     160
 1990 072    93    2125   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      96     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.61    2.06    0.29    0.35    0.33    0.37    0.72   61.39    0.74    0.16    0.15    0.13    0.14    0.16   11.22    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 073    94    2125   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.53    2.06    0.29    0.35    0.33    0.37    0.72   61.32    0.74    0.16    0.15    0.13    0.14    0.16   11.21    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 074    95    2125   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.46    2.05    0.29    0.35    0.33    0.37    0.72   61.25    0.74    0.16    0.15    0.13    0.14    0.16   11.21    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 075    96    2125   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       5    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.39    2.05    0.28    0.35    0.33    0.37    0.71   61.18    0.74    0.16    0.15    0.13    0.14    0.16   11.21    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 076    97    2125   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.31    2.05    0.28    0.35    0.33    0.37    0.71   61.11    0.73    0.16    0.15    0.13    0.14    0.16   11.20    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 077    98    2126   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     378     749     474       4      24    4317     137     274     333     508    3065   72.23    2.05    0.28    0.35    0.33    0.37    0.71   61.03    0.73    0.16    0.15    0.13    0.14    0.16   11.20    1.32    0.12    0.20    0.20    0.24    0.55     160
 1990 078    99    2126   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3065   72.15    2.04    0.28    0.35    0.33    0.37    0.71   60.95    0.73    0.16    0.15    0.13    0.14    0.16   11.20    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 079   100    2126   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3065   72.06    2.04    0.28    0.35    0.33    0.37    0.71   60.86    0.73    0.16    0.15    0.13    0.13    0.16   11.19    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 080   101    2126   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3065   71.96    2.04    0.28    0.35    0.33    0.37    0.71   60.77    0.73    0.16    0.15    0.13    0.13    0.16   11.19    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 081   102    2126   0.076     932   0.028    6225     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3064   71.85    2.03    0.28    0.35    0.33    0.37    0.70   60.67    0.72    0.16    0.15    0.13    0.13    0.16   11.18    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 082   103    2126   0.076     932   0.028    6224     169    6056     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3064   71.74    2.03    0.28    0.35    0.33    0.37    0.70   60.56    0.72    0.16    0.15    0.13    0.13    0.15   11.18    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 083   104    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3064   71.63    2.03    0.28    0.35    0.33    0.37    0.70   60.46    0.72    0.16    0.15    0.13    0.13    0.15   11.17    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 084   105    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4317     137     274     333     508    3064   71.52    2.03    0.28    0.35    0.33    0.37    0.70   60.35    0.72    0.16    0.15    0.13    0.13    0.15   11.17    1.31    0.12    0.20    0.20    0.24    0.55     160
 1990 085   106    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      97     107      27      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   71.41    2.02    0.28    0.35    0.33    0.37    0.70   60.24    0.72    0.16    0.15    0.13    0.13    0.15   11.16    1.31    0.12    0.20    0.20    0.24    0.54     160
 1990 086   107    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      98     106      27      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   71.30    2.02    0.28    0.35    0.33    0.37    0.69   60.14    0.71    0.16    0.14    0.13    0.13    0.15   11.16    1.31    0.12    0.20    0.20    0.24    0.54     160
 1990 087   108    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   71.19    2.02    0.28    0.35    0.33    0.37    0.69   60.04    0.71    0.16    0.14    0.13    0.13    0.15   11.15    1.31    0.12    0.20    0.20    0.24    0.54     160
 1990 088   109    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   71.09    2.01    0.28    0.35    0.33    0.37    0.69   59.95    0.71    0.16    0.14    0.13    0.13    0.15   11.15    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 089   110    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   71.00    2.01    0.28    0.35    0.33    0.37    0.69   59.85    0.71    0.16    0.14    0.13    0.13    0.15   11.14    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 090   111    2126   0.076     932   0.028    6224     169    6055     542    1069     836     514    3094      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.91    2.01    0.28    0.35    0.33    0.37    0.69   59.77    0.71    0.16    0.14    0.13    0.13    0.15   11.14    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 091   112    2126   0.076     932   0.028    6223     169    6055     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.82    2.01    0.28    0.35    0.33    0.37    0.69   59.68    0.70    0.16    0.14    0.13    0.13    0.15   11.13    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 092   113    2126   0.076     932   0.028    6223     169    6055     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.74    2.00    0.28    0.35    0.33    0.37    0.69   59.60    0.70    0.16    0.14    0.13    0.13    0.15   11.13    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 093   114    2126   0.076     932   0.028    6223     169    6055     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.66    2.00    0.28    0.35    0.33    0.37    0.68   59.53    0.70    0.15    0.14    0.13    0.13    0.15   11.13    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 094   115    2126   0.076     932   0.028    6223     169    6054     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.57    2.00    0.28    0.34    0.33    0.37    0.68   59.45    0.70    0.15    0.14    0.13    0.13    0.15   11.12    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 095   116    2126   0.076     932   0.028    6223     169    6054     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.49    2.00    0.28    0.34    0.32    0.37    0.68   59.37    0.70    0.15    0.14    0.13    0.13    0.15   11.12    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 096   117    2126   0.076     932   0.028    6223     169    6054     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.40    1.99    0.28    0.34    0.32    0.37    0.68   59.28    0.70    0.15    0.14    0.13    0.13    0.14   11.11    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 097   118    2126   0.076     932   0.028    6223     169    6054     542    1069     836     514    3093      98     106      26      46      28       2       4    1630     379     749     474       4      24    4316     137     274     333     508    3064   70.30    1.99    0.28    0.34    0.32    0.37    0.68   59.19    0.70    0.15    0.14    0.13    0.13    0.14   11.11    1.30    0.12    0.20    0.20    0.24    0.54     160
 1990 098   119    2128   0.076     932   0.028    6222     169    6053     542    1068     836     514    3093     101     105      26      45      28       2       4    1630     378     748     474       4      24    4316     137     274     333     508    3064   68.03    1.97    0.27    0.33    0.32    0.37    0.68   57.02    0.68    0.15    0.13    0.12    0.13    0.14   11.00    1.29    0.12    0.20    0.20    0.24    0.53     160
 1990 099   120    2130   0.076     932   0.028    6221     169    6052     541    1067     836     514    3093     104     104      26      45      28       2       4    1629     378     748     474       4      24    4316     137     274     333     508    3064   65.22    1.95    0.26    0.33    0.32    0.37    0.68   54.35    0.66    0.14    0.13    0.12    0.13    0.14   10.87    1.29    0.12    0.20    0.20    0.24    0.53     160
 1990 100   121    2130   0.076     932   0.028    6219     168    6051     541    1067     836     514    3093     105     104      25      45      28       2       4    1629     379     748     474       4      24    4316     137     274     333     508    3064   62.78    1.93    0.25    0.32    0.32    0.37    0.68   52.03    0.64    0.13    0.12    0.12    0.13    0.14   10.75    1.29    0.12    0.20    0.20    0.24    0.53     160
 1990 101   122    2131   0.076     932   0.028    6217     167    6050     541    1066     836     514    3093     106     103      25      44      28       2       4    1629     379     748     474       4      24    4316     137     274     333     508    3064   61.01    1.92    0.25    0.31    0.32    0.36    0.67   50.35    0.63    0.13    0.12    0.12    0.13    0.14   10.65    1.29    0.12    0.20    0.20    0.24    0.53     160
 1990 102   123    2130   0.076     931   0.028    6216     166    6050     541    1066     836     514    3093     107     103      25      44      28       2       4    1629     379     747     474       4      24    4316     137     274     333     508    3064   59.82    1.91    0.24    0.31    0.32    0.36    0.67   49.23    0.62    0.12    0.11    0.12    0.13    0.14   10.59    1.28    0.12    0.20    0.20    0.24    0.53     160
 1990 103   124    2130   0.076     931   0.028    6215     166    6049     541    1066     836     514    3093     107     102      25      44      28       2       4    1629     379     747     474       4      24    4316     137     274     333     508    3064   59.06    1.90    0.24    0.31    0.32    0.36    0.67   48.51    0.62    0.12    0.11    0.12    0.13    0.14   10.55    1.28    0.12    0.20    0.20    0.24    0.53     160
 1990 104   125    2130   0.076     931   0.028    6214     165    6049     541    1065     836     514    3093     107     102      25      44      28       2       4    1629     379     747     474       4      24    4316     137     274     333     508    3064   58.43    1.89    0.24    0.30    0.31    0.36    0.67   47.91    0.61    0.12    0.11    0.12    0.13    0.14   10.52    1.28    0.12    0.20    0.20    0.24    0.53     160
 1990 105   126    2130   0.076     931   0.028    6213     165    6048     541    1065     836     514    3093     107     102      25      44      28       2       4    1628     379     747     474       4      24    4316     137     274     333     508    3064   57.89    1.88    0.24    0.30    0.31    0.36    0.67   47.40    0.60    0.12    0.10    0.12    0.13    0.14   10.49    1.28    0.12    0.20    0.20    0.24    0.53     160
 1990 106   127    2130   0.076     931   0.028    6213     165    6048     541    1065     835     514    3093     107     102      25      44      28       2       4    1628     379     747     474       4      24    4316     137     274     333     508    3064   57.43    1.87    0.24    0.30    0.31    0.36    0.67   46.97    0.60    0.11    0.10    0.11    0.13    0.14   10.46    1.28    0.12    0.20    0.20    0.24    0.53     160
