*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                Soil evaporation (mm/d) by soil depth (cm):
!                                                                                                                                                0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   SRAA  TMAXA  TMINA   EOAA   EOPA   EOSA   ETAA   EPAA   ESAA   EFAA   EMAA    EOAC    ETAC    EPAC    ESAC    EFAC    EMAC    ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D    TRWU
 1990 074    95  25.10  26.00   4.60  4.914  4.446  0.445  0.141  0.024  0.117  0.000  0.000  303.07  208.29  182.37   22.12    0.00    3.80   0.070   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 075    96  25.70  27.00   4.60  5.097  4.608  0.465  0.135  0.024  0.111  0.000  0.000  308.17  208.43  182.39   22.24    0.00    3.80   0.064   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 076    97  26.20  29.40   6.00  5.416  4.893  0.499  0.130  0.025  0.105  0.000  0.000  313.58  208.56  182.42   22.34    0.00    3.80   0.058   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 077    98  25.60  29.00   6.80  5.300  4.781  0.495  0.126  0.027  0.100  0.000  0.000  318.88  208.68  182.44   22.44    0.00    3.80   0.053   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 078    99  27.10  31.00   6.00  5.709  5.141  0.543  0.123  0.028  0.095  0.000  0.000  324.59  208.81  182.47   22.54    0.00    3.80   0.048   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 079   100  26.60  33.20   9.20  5.894  5.297  0.573  0.120  0.030  0.090  0.000  0.000  330.49  208.93  182.50   22.63    0.00    3.80   0.044   0.029   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 080   101  24.90  31.00  10.00  5.411  4.849  0.539  0.118  0.031  0.086  0.000  0.000  335.90  209.04  182.53   22.71    0.00    3.80   0.040   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 081   102  25.40  31.60   9.60  5.538  4.945  0.570  0.116  0.033  0.083  0.000  0.000  341.44  209.16  182.56   22.79    0.00    3.80   0.036   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 082   103  25.80  31.20   8.60  5.553  4.937  0.592  0.114  0.035  0.079  0.000  0.000  346.99  209.27  182.60   22.87    0.00    3.80   0.033   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 083   104  24.70  30.80  10.00  5.347  4.730  0.594  0.111  0.035  0.076  0.000  0.000  352.34  209.38  182.63   22.95    0.00    3.80   0.030   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 084   105  23.30  30.00  11.60  5.056  4.448  0.587  0.108  0.035  0.073  0.000  0.000  357.39  209.49  182.67   23.02    0.00    3.80   0.028   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 085   106  21.40  27.60  12.00  4.525  3.953  0.551  0.106  0.035  0.071  0.000  0.000  361.92  209.60  182.70   23.09    0.00    3.80   0.025   0.028   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 086   107  20.70  30.20  15.60  4.634  4.018  0.596  0.103  0.035  0.068  0.000  0.000  366.55  209.70  182.74   23.16    0.00    3.80   0.023   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 087   108  21.60  29.60  13.80  4.733  4.067  0.645  0.101  0.035  0.066  0.000  0.000  371.28  209.80  182.77   23.23    0.00    3.80   0.021   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 088   109  18.80  24.00  12.00  3.793  3.219  0.555  0.099  0.035  0.064  0.000  0.000  375.08  209.90  182.81   23.29    0.00    3.80   0.019   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 089   110   6.40  25.40  24.00  1.440  1.208  0.226  0.097  0.035  0.062  0.000  0.000  376.52  210.00  182.84   23.36    0.00    3.80   0.017   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.004
 1990 090   111  20.60  23.40   9.00  4.010  3.315  0.673  0.096  0.035  0.061  0.000  0.000  380.53  210.10  182.88   23.42    0.00    3.80   0.016   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 091   112  24.40  25.20   9.40  4.865  3.940  0.898  0.094  0.035  0.059  0.000  0.000  385.39  210.19  182.91   23.47    0.00    3.80   0.014   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 092   113  24.70  27.20  11.00  5.105  4.072  1.006  0.092  0.035  0.058  0.000  0.000  390.50  210.28  182.95   23.53    0.00    3.80   0.013   0.027   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 093   114  26.20  28.80  10.60  5.491  4.297  1.164  0.091  0.035  0.056  0.000  0.000  395.99  210.37  182.98   23.59    0.00    3.80   0.012   0.026   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 094   115  29.00  31.00   8.80  6.134  4.684  1.415  0.090  0.035  0.055  0.000  0.000  402.12  210.46  183.02   23.64    0.00    3.80   0.011   0.026   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 095   116  23.80  28.00  13.00  5.006  3.714  1.265  0.089  0.035  0.054  0.000  0.000  407.13  210.55  183.05   23.70    0.00    3.80   0.010   0.026   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 096   117  26.50  28.60  10.00  5.463  3.914  1.517  0.088  0.035  0.053  0.000  0.000  412.59  210.64  183.09   23.75    0.00    3.80   0.009   0.026   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 097   118  23.30  27.20  12.80  4.809  3.299  1.482  0.697  0.035  0.662  0.000  0.000  417.40  211.34  183.12   24.41    0.00    3.80   0.579   0.066   0.009   0.002   0.001   0.001   0.001   0.003   0.002   0.003
 1990 098   119  26.80  30.60  11.60  5.714  3.732  1.949  3.798  2.927  0.872  0.000  0.000  423.11  215.13  186.05   25.28    0.00    3.80   0.316   0.207   0.058   0.017   0.013   0.011   0.024   0.123   0.104   0.293
 1990 099   120  26.90  31.80  12.60  5.823  3.572  2.218  4.926  3.923  1.004  0.000  0.000  428.94  220.06  189.97   26.29    0.00    3.80   0.336   0.232   0.080   0.021   0.016   0.014   0.028   0.150   0.127   0.392
 1990 100   121  27.40  32.20  12.40  5.912  3.343  2.534  4.509  3.674  0.835  0.000  0.000  434.85  224.57  193.65   27.12    0.00    3.80   0.727   0.086   0.013   0.002   0.001   0.001   0.001   0.003   0.002   0.367
 1990 101   122  28.60  35.20  13.60  6.441  3.267  3.138  4.104  3.442  0.662  0.000  0.000  441.29  228.67  197.09   27.79    0.00    3.80   0.565   0.076   0.012   0.002   0.001   0.001   0.001   0.003   0.002   0.344
 1990 102   123  29.50  34.00  11.00  6.312  2.763  3.512  3.648  3.146  0.502  0.000  0.000  447.60  232.32  200.23   28.29    0.00    3.80   0.415   0.067   0.012   0.002   0.001   0.001   0.001   0.003   0.002   0.315
 1990 103   124  29.50  34.00  11.00  5.959  0.355  5.592  0.881  0.501  0.380  0.000  0.000  453.56  233.20  200.74   28.67    0.00    3.80   0.302   0.058   0.011   0.002   0.001   0.001   0.001   0.003   0.002   0.050
 1990 104   125  30.40  35.00  10.60  6.134  0.000  6.134  0.360  0.015  0.345  0.000  0.000  459.69  233.56  200.75   29.01    0.00    3.80   0.269   0.057   0.011   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 105   126  31.30  36.60  10.60  6.897  0.000  6.897  0.337  0.016  0.321  0.000  0.000  466.59  233.90  200.77   29.33    0.00    3.80   0.245   0.056   0.011   0.002   0.001   0.001   0.001   0.003   0.002   0.002
 1990 106   127  27.80  35.00  14.60  5.778  0.000  5.778  0.317  0.018  0.299  0.000  0.000  472.37  234.22  200.79   29.63    0.00    3.80   0.224   0.056   0.011   0.002   0.001   0.001   0.001   0.003   0.002   0.002
