*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.5.1.014 -Release      JAN 29, 2013; 15:02:32
                                                                                
*RUN   1        : Irrigated + Nitrogen      WHAPS045 UFMX8902    3              
 MODEL          : WHAPS045 - Wheat                                              
 EXPERIMENT     : UFMX8902 WH  Mexi (NWheat migration to DSSAT)                 
 DATA PATH      : C:\DSSAT45\WHEAT\                                             
 TREATMENT  3   : Irrigated + Nitrogen      WHAPS045                            
  
!                                                                                                                                                                                                                                             Root Dens. (cm/cm3) by soil depth (cm):
!                                                                                                                                                                                                                                             0-5    5-15   15-25   25-40   40-55   55-70   70-90  90-120 120-150
@YEAR DOY   DAS   DAP    DCCD  GSTD   LAID   LWAD   SWAD   GWAD   RWAD   VWAD   CWAD   G#AD   GWGD   HIAD   SHAD   P#AD   WSPD   WSGD   NSTD   EWSD  PST1A  PST2A   KSTD   LN%D   TPSM   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD    RL1D    RL2D    RL3D    RL4D    RL5D    RL6D    RL7D    RL8D    RL9D   CDAD   LDAD   SDAD   SNW0C   SNW1C    DTTD   SUMDTT
 1989 361    17    16  15.852     1  0.067     58      0      0     29     73     73      0      0  0.000     15      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     15    355.7   0.00   0.00   0.30   0.021   0.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  16.800  117.033
 1989 362    18    17  16.539     1  0.079     61      0      0     31     80     80      0      0  0.000     18      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     18    352.0   0.00   0.00   0.32   0.021   0.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  19.100  130.785
 1989 363    19    18  17.191     1  0.092     65      0      0     34     87     87      0      0  0.000     22      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     22    348.7   0.00   0.00   0.34   0.021   0.008   0.000   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  18.100  143.818
 1989 364    20    19  17.796     1  0.107     69      0      0     38     96     96      0      0  0.000     26      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     26    345.9   0.00   0.00   0.36   0.020   0.008   0.001   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  16.800  155.924
 1989 365    21    20  18.302     1  0.128     75      0      0     43    108    108      0      0  0.000     33      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     33    343.6   0.00   0.00   0.38   0.020   0.008   0.001   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  14.000  166.037
 1990 001    22    21  18.884     1  0.155     83      0      0     49    124    124      0      0  0.000     40      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     40    341.1   0.00   0.00   0.39   0.020   0.008   0.001   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  16.100  177.680
 1990 002    23    22  19.449     1  0.185     92      0      0     56    142    142      0      0  0.000     49      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     49    338.9   0.00   0.00   0.41   0.020   0.008   0.001   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  15.600  188.979
 1990 003    24    23  20.029     1  0.220    102      0      0     64    162    162      0      0  0.000     60      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     60    336.7   0.00   0.00   0.42   0.020   0.009   0.001   0.000   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  16.000  200.582
 1990 004    25    24  20.477     1  0.254    113      0      0     72    183    183      0      0  0.000     70      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     70    335.1   0.00   0.00   0.43   0.019   0.009   0.002   0.001   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  12.300  209.533
 1990 005    26    25  20.940     1  0.302    127      0      0     84    212    212      0      0  0.000     84      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0     84    333.5   0.00   0.00   0.44   0.019   0.009   0.002   0.001   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  12.700  218.805
 1990 006    27    26  21.365     1  0.361    145      0      0     98    247    247      0      0  0.000    102      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    102    332.1   0.00   0.00   0.45   0.019   0.010   0.002   0.001   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  11.600  227.308
 1990 007    28    27  21.923     1  0.431    166      0      0    116    290    290      0      0  0.000    123      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    123    330.4   0.00   0.00   0.46   0.019   0.010   0.003   0.001   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  15.200  238.468
 1990 008    29    28  22.471     1  0.518    193      0      0    137    342    342      0      0  0.000    150      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    150    328.7   0.00   0.00   0.47   0.019   0.011   0.003   0.001   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  14.900  249.428
 1990 009    30    29  23.060     1  0.615    222      0      0    163    402    402      0      0  0.000    179      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    179    327.1   0.00   0.00   0.48   0.018   0.012   0.004   0.002   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  15.977  261.195
 1990 010    31    30  23.718     1  0.723    255      0      0    189    468    468      0      0  0.000    212      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    212    325.4   0.00   0.00   0.50   0.018   0.013   0.005   0.002   0.000   0.000   0.000   0.000   0.000      0      0      0       0       0  17.869  274.356
 1990 011    32    31  24.378     1  0.838    291      0      0    222    539    539      0      0  0.000    248      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    248    323.7   0.00   0.00   0.51   0.018   0.014   0.006   0.002   0.001   0.000   0.000   0.000   0.000      0      0      0       0       0  17.933  287.563
 1990 012    33    32  25.077     1  0.963    330      0      0    253    617    617      0      0  0.000    287      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    287    322.1   0.00   0.00   0.52   0.018   0.015   0.007   0.003   0.001   0.000   0.000   0.000   0.000      0      0      0       0       0  18.969  301.534
 1990 013    34    33  25.750     1  1.087    368      0      0    302    694    694      0      0  0.000    326      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    326    320.7   0.00   0.00   0.54   0.019   0.016   0.008   0.003   0.001   0.000   0.000   0.000   0.000      0      0      0       0       0  18.271  314.990
 1990 014    35    34  26.361     1  1.202    405      0      0    371    767    767      0      0  0.000    362      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    362    319.5   0.00   0.00   0.55   0.020   0.018   0.009   0.003   0.001   0.000   0.000   0.000   0.000      0      0      0       0       0  16.600  327.226
 1990 015    36    35  26.926     1  1.311    439      0      0    460    835    835      0      0  0.000    396      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    396    318.4   0.00   0.00   0.56   0.023   0.021   0.011   0.004   0.002   0.000   0.000   0.000   0.000      0      0      0       0       0  15.300  338.523
 1990 016    37    36  27.536     1  1.430    476      0      0    533    910    910      0      0  0.000    433      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    433    317.3   0.00   0.00   0.57   0.026   0.024   0.013   0.005   0.002   0.000   0.000   0.000   0.000      0      0      0       0       0  16.500  350.716
 1990 017    38    37  27.999     1  1.522    505      0      0    647    968    968      0      0  0.000    462      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    462    316.5   0.00   0.00   0.58   0.028   0.026   0.015   0.005   0.003   0.000   0.000   0.000   0.000      0      0      0       0       0  12.500  359.984
 1990 018    39    38  28.468     1  1.616    535      0      0    756   1027   1027      0      0  0.000    492      0  0.000  0.000  0.000  0.000  0.000  0.000  1.000   0.00 300.00   0.00      0    492    315.8   0.00   0.00   0.59   0.032   0.031   0.018   0.006   0.003   0.000   0.000   0.000   0.000      0      0      0       0       0  12.600  369.357
